inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,11.4670,0.0456,0,0,0.0000,0.0000,0.0000,0.0000,40.6622,0.0034,12.9349,0.0380,9.3869,0.0744,0.5173,44.8729,1.3453,3.9973
0.0792,11.4670,0.0723,0,0,0.0000,0.0000,0.0000,0.0000,40.6622,0.0054,12.9349,0.0602,9.3869,0.1180,0.7368,46.1506,1.3525,6.3012
0.1256,11.4670,0.1145,0,0,0.0000,0.0000,0.0000,0.0000,40.6622,0.0086,12.9349,0.0955,9.3869,0.1870,0.9663,45.1588,1.3697,9.8864
0.1991,11.4671,0.1815,0,0,0.0000,0.0000,0.0000,0.0000,40.6623,0.0136,12.9349,0.1513,9.3870,0.2963,1.2345,45.0456,1.4115,15.2699
0.3155,11.4672,0.2877,0,0,0.0000,0.0000,0.0000,0.0000,40.6623,0.0216,12.9350,0.2398,9.3873,0.4697,1.5785,45.0161,1.5111,22.7924
0.5000,11.4675,0.4559,0,0,0.0000,0.0000,0.0000,0.0000,40.6623,0.0342,12.9353,0.3800,9.3879,0.7443,2.0044,44.9751,1.7291,31.8478
0.7924,11.4683,0.7226,0,0,0.0000,0.0000,0.0000,0.0000,40.6623,0.0542,12.9358,0.6022,9.3895,1.1795,2.5369,44.9397,2.1532,40.2306
1.2559,11.4702,1.1450,0,0,0.0000,0.0000,0.0000,0.0000,40.6623,0.0859,12.9373,0.9544,9.3935,1.8688,3.2046,44.9075,2.8506,45.2696
1.9905,11.4751,1.8141,0,0,0.0000,0.0000,0.0000,0.0000,40.6624,0.1362,12.9409,1.5122,9.4035,2.9593,4.0422,44.8761,3.7964,46.3232
3.1548,11.4872,2.8726,0,0,0.0000,0.0000,0.0000,0.0000,40.6626,0.2158,12.9501,2.3954,9.4286,4.6803,5.0928,44.8382,4.8930,45.4591
5.0000,11.5177,4.5426,0,0,0.0000,0.0000,0.0000,0.0000,40.6632,0.3420,12.9730,3.7910,9.4912,7.3784,6.4128,44.7897,6.1573,44.9111
7.9245,11.5938,7.1595,0,0,0.0000,0.0000,0.0000,0.0000,40.6647,0.5420,13.0303,5.9870,9.6465,11.5419,8.0704,44.7340,7.7370,44.8585
12.5594,11.7823,11.1924,0,0,0.0000,0.0000,0.0000,0.0000,40.6685,0.8590,13.1730,9.4053,10.0247,17.7275,10.1513,44.6628,9.7373,44.8389
19.9054,12.2400,17.1649,0,0,0.0000,0.0000,0.0000,0.0000,40.6780,1.3611,13.5240,14.5896,10.9091,26.1719,12.7635,44.5728,12.2535,44.7937
31.5479,13.3040,25.2591,0,0,0.0000,0.0000,0.0000,0.0000,40.7017,2.1562,14.3627,21.9924,12.8237,35.9251,16.0401,44.4604,15.4155,44.7331
50.0000,15.5766,34.4635,0,0,0.0000,0.0000,0.0000,0.0000,40.7612,3.4132,16.2513,31.3043,16.4987,44.3795,20.1464,44.3177,19.3880,44.6534
79.2447,19.8194,42.2209,0,0,0.0000,0.0000,0.0000,0.0000,40.9104,5.3936,20.0907,40.5929,22.5295,48.7400,25.2877,44.1365,24.3765,44.5473
125.5943,26.4665,46.1586,0,0,0.0000,0.0000,0.0000,0.0000,41.2824,8.4855,26.8567,46.8285,30.6154,48.3334,31.7152,43.9066,30.6369,44.4044
199.0536,35.0600,46.3898,0,0,0.0000,0.0000,0.0000,0.0000,42.2007,13.2081,36.7826,48.1452,39.2229,46.0795,39.7362,43.6135,38.4867,44.2101
315.4787,44.7897,45.3365,0,0,0.0000,0.0000,0.0000,0.0000,44.4136,20.0599,48.2046,45.8372,49.1719,45.7419,49.7231,43.2388,48.3181,43.9431
500.0000,56.1424,44.9270,0,0,0.0000,0.0000,0.0000,0.0000,49.4813,28.9541,59.9143,44.4621,62.5923,45.1823,62.1212,42.7592,60.6119,43.5723
792.4466,70.5491,44.9876,0,0,0.0000,0.0000,0.0000,0.0000,60.0741,38.2908,75.5880,44.1316,79.2589,44.1794,77.4548,42.1427,75.9499,43.0527
1255.9432,88.8559,45.0023,0,0,0.0000,0.0000,0.0000,0.0000,79.4736,45.0137,95.1312,43.0843,99.9096,42.7543,96.3301,41.3476,95.0214,42.3190
1990.5359,111.9068,44.9998,0,0,0.0000,0.0000,0.0000,0.0000,109.4010,46.5516,119.1488,41.7285,124.9588,40.8168,119.4288,40.3193,118.6073,41.2780
3154.7867,141.0218,45.0000,0,0,0.0000,0.0000,0.0000,0.0000,145.0283,42.9462,148.2594,39.9452,154.4081,38.3390,147.4967,38.9834,147.5154,39.8049
5000.0000,177.9797,45.0000,0,0,0.0000,0.0000,0.0000,0.0000,175.8736,39.5151,182.9127,37.6856,187.5391,35.4517,181.3499,37.2362,182.4012,37.7438
7924.4660,225.4896,45.0000,0,0,0.0000,0.0000,0.0000,0.0000,223.4907,38.2413,223.5037,34.9246,223.5631,32.6331,221.9601,34.9232,223.4507,34.9971
12559.4322,288.5834,45.0000,0,0,0.0000,0.0000,0.0000,0.0000,277.5173,33.9727,271.3597,31.5887,265.7837,30.3260,270.8258,31.7567,271.4677,31.6002
